x0,y0,x1,y1,label,detected,frame
908,273,939,295,4,1,41
524,422,536,449,5,1,41
201,571,454,716,1,1,42
1076,503,1133,536,2,1,42
623,462,635,486,3,1,42
906,275,940,296,4,1,42
524,422,536,449,5,1,42
203,571,453,715,1,1,43
1076,503,1133,536,2,1,43
623,462,635,486,3,1,43
905,276,939,296,4,1,43
524,422,536,449,5,1,43
201,571,454,716,1,1,44
1076,503,1133,536,2,1,44
623,462,635,486,3,1,44
905,276,938,296,4,1,44
524,422,536,449,5,1,44
203,571,453,715,1,1,45
1076,503,1133,536,2,1,45
623,462,635,486,3,1,45
904,276,936,296,4,1,45
524,422,536,449,5,1,45
201,571,454,716,1,1,46
1076,503,1133,536,2,1,46
623,461,634,485,3,1,46
904,276,935,296,4,1,46
524,422,536,449,5,1,46
203,571,453,715,1,1,47
1076,503,1133,536,2,1,47
622,461,635,485,3,1,47
903,276,933,298,4,1,47
524,422,536,449,5,1,47
201,571,454,716,1,1,48
1076,503,1133,536,2,1,48
623,461,634,485,3,1,48
900,276,933,298,4,1,48
524,422,536,449,5,1,48
203,571,453,715,1,1,49
1076,503,1133,536,2,1,49
623,461,634,485,3,1,49
898,276,933,299,4,1,49
524,422,536,449,5,1,49
201,571,454,716,1,1,50
1076,503,1133,536,2,1,50
623,460,634,485,3,1,50
898,277,932,300,4,1,50
524,422,536,449,5,1,50
201,571,454,716,1,1,51
1076,503,1133,536,2,1,51
622,461,635,485,3,1,51
897,277,931,301,4,1,51
524,422,536,449,5,1,51
201,571,453,715,1,1,52
1076,503,1133,536,2,1,52
623,461,634,485,3,1,52
895,277,931,301,4,1,52
524,422,536,449,5,1,52
201,571,454,716,1,1,53
1076,503,1133,536,2,1,53
623,461,634,485,3,1,53
894,278,929,301,4,1,53
524,422,536,449,5,1,53
201,571,453,716,1,1,54
1076,503,1133,536,2,1,54
623,462,634,485,3,1,54
893,278,927,301,4,1,54
524,422,536,449,5,1,54
201,571,454,716,1,1,55
1076,503,1133,536,2,1,55
623,462,634,486,3,1,55
892,278,926,302,4,1,55
524,422,536,449,5,1,55
203,571,453,715,1,1,56
1075,502,1133,535,2,1,56
623,461,634,485,3,1,56
890,278,926,302,4,1,56
524,423,537,448,5,1,56
203,571,454,716,1,1,57
1076,502,1132,535,2,1,57
623,461,634,485,3,1,57
890,278,924,302,4,1,57
524,423,537,448,5,1,57
203,571,453,715,1,1,58
1076,503,1132,535,2,1,58
622,461,635,485,3,1,58
889,279,924,302,4,1,58
525,424,537,447,5,1,58
202,571,454,716,1,1,59
1076,503,1132,535,2,1,59
622,461,635,485,3,1,59
889,279,923,303,4,1,59
525,424,537,447,5,1,59
203,571,453,716,1,1,60
1076,503,1132,535,2,1,60
623,461,634,484,3,1,60
888,279,922,303,4,1,60
525,424,536,447,5,1,60
205,572,452,716,1,1,61
1075,503,1133,536,2,1,61
623,461,634,484,3,1,61
888,279,921,303,4,1,61
525,424,536,447,5,1,61
206,572,453,716,1,1,62
1075,503,1133,536,2,1,62
623,460,634,484,3,1,62
887,280,920,304,4,1,62
525,424,535,447,5,1,62
206,573,453,717,1,1,63
1075,503,1133,536,2,1,63
623,460,634,484,3,1,63
886,280,919,304,4,1,63
524,424,535,447,5,1,63
206,573,453,717,1,1,64
1075,503,1133,536,2,1,64
622,460,635,484,3,1,64
884,281,918,305,4,1,64
524,424,535,447,5,1,64
206,573,453,717,1,1,65
1075,503,1133,536,2,1,65
622,460,635,484,3,1,65
884,282,917,306,4,1,65
524,424,535,447,5,1,65
206,573,453,717,1,1,66
1075,503,1133,536,2,1,66
622,460,635,484,3,1,66
882,282,918,307,4,1,66
524,424,535,447,5,1,66
206,573,453,717,1,1,67
1075,503,1133,536,2,1,67
622,460,635,484,3,1,67
881,283,917,307,4,1,67
524,424,535,447,5,1,67
206,573,453,717,1,1,68
1075,503,1133,536,2,1,68
622,460,635,484,3,1,68
879,283,914,307,4,1,68
524,424,535,447,5,1,68
206,573,453,717,1,1,69
1075,503,1133,536,2,1,69
622,460,635,484,3,1,69
877,284,914,308,4,1,69
524,424,535,447,5,1,69
206,573,453,717,1,1,70
1075,503,1133,536,2,1,70
622,460,635,484,3,1,70
876,284,913,308,4,1,70
524,424,535,447,5,1,70
206,572,452,716,1,1,71
1075,503,1133,536,2,1,71
622,460,635,484,3,1,71
876,284,911,308,4,1,71
524,424,535,447,5,1,71
205,572,453,717,1,1,72
1075,503,1133,536,2,1,72
622,460,635,484,3,1,72
874,284,911,309,4,1,72
524,424,535,447,5,1,72
205,572,453,717,1,1,73
1075,502,1133,536,2,1,73
622,460,635,485,3,1,73
874,285,911,310,4,1,73
525,424,535,447,5,1,73
206,572,452,716,1,1,74
1075,502,1133,536,2,1,74
622,461,635,485,3,1,74
873,285,910,310,4,1,74
525,424,535,447,5,1,74
206,572,452,716,1,1,75
1075,502,1133,536,2,1,75
622,461,635,485,3,1,75
872,285,910,310,4,1,75
525,424,535,447,5,1,75
205,572,453,716,1,1,76
1075,502,1133,536,2,1,76
622,461,635,485,3,1,76
872,285,909,310,4,1,76
525,424,535,447,5,1,76
205,572,453,717,1,1,77
1075,502,1133,536,2,1,77
622,461,635,485,3,1,77
871,286,910,310,4,1,77
525,424,535,447,5,1,77
205,572,453,717,1,1,78
1075,502,1133,536,2,1,78
622,461,635,485,3,1,78
871,286,909,310,4,1,78
525,424,535,447,5,1,78
205,573,452,717,1,1,79
1075,502,1133,536,2,1,79
622,461,635,485,3,1,79
871,287,910,311,4,1,79
525,424,535,447,5,1,79
205,573,452,717,1,1,80
1075,502,1133,536,2,1,80
622,461,635,485,3,1,80
871,288,909,311,4,1,80
525,424,535,447,5,1,80
206,573,452,716,1,1,81
1075,502,1133,535,2,1,81
622,461,635,485,3,1,81
870,288,908,311,4,1,81
525,424,535,447,5,1,81
206,573,452,716,1,1,82
1075,502,1133,535,2,1,82
622,461,635,485,3,1,82
870,288,909,311,4,1,82
525,424,535,447,5,1,82
206,573,452,716,1,1,83
1076,502,1132,534,2,1,83
622,461,635,485,3,1,83
870,288,908,311,4,1,83
525,424,535,447,5,1,83
206,573,452,716,1,1,84
1076,502,1132,534,2,1,84
622,461,635,485,3,1,84
869,287,905,311,4,1,84
525,424,535,447,5,1,84
206,573,452,716,1,1,85
1076,502,1132,534,2,1,85
622,461,635,485,3,1,85
868,287,906,311,4,1,85
525,424,536,447,5,1,85
205,573,452,716,1,1,86
1076,502,1132,534,2,1,86
622,461,635,485,3,1,86
868,287,905,312,4,1,86
525,424,535,448,5,1,86
205,573,452,716,1,1,87
1076,502,1132,534,2,1,87
622,461,635,485,3,1,87
867,287,904,312,4,1,87
524,424,536,448,5,1,87
205,573,452,716,1,1,88
1076,502,1132,534,2,1,88
622,461,635,485,3,1,88
865,287,902,312,4,1,88
524,423,536,448,5,1,88
205,573,452,716,1,1,89
1076,502,1132,534,2,1,89
622,461,635,485,3,1,89
864,287,901,312,4,1,89
524,423,536,448,5,1,89
205,573,452,716,1,1,90
1076,503,1132,534,2,1,90
622,461,635,485,3,1,90
864,288,901,313,4,1,90
524,423,536,448,5,1,90
205,572,452,716,1,1,91
1076,503,1132,534,2,1,91
622,461,635,485,3,1,91
864,288,899,313,4,1,91
525,423,536,447,5,1,91
205,572,452,716,1,1,92
1076,503,1132,534,2,1,92
622,461,635,485,3,1,92
864,289,898,314,4,1,92
525,424,535,448,5,1,92
205,572,452,716,1,1,93
1076,503,1132,534,2,1,93
622,461,635,485,3,1,93
863,289,898,315,4,1,93
524,424,536,448,5,1,93
205,572,452,716,1,1,94
1076,503,1132,534,2,1,94
622,461,635,485,3,1,94
862,289,898,315,4,1,94
525,424,535,448,5,1,94
206,572,452,716,1,1,95
1076,503,1132,534,2,1,95
622,461,635,485,3,1,95
861,290,899,315,4,1,95
524,423,536,448,5,1,95
205,572,453,716,1,1,96
1076,503,1132,534,2,1,96
622,461,635,485,3,1,96
861,290,898,316,4,1,96
524,423,536,448,5,1,96
205,572,453,716,1,1,97
1076,503,1132,534,2,1,97
622,461,635,485,3,1,97
860,291,898,316,4,1,97
524,423,536,448,5,1,97
206,572,452,716,1,1,98
1076,503,1132,534,2,1,98
622,461,635,485,3,1,98
860,292,897,316,4,1,98
524,423,536,447,5,1,98
206,572,452,716,1,1,99
1076,503,1132,534,2,1,99
622,461,635,485,3,1,99
859,292,896,316,4,1,99
525,423,535,447,5,1,99
205,572,453,716,1,1,100
1076,503,1132,534,2,1,100
622,461,635,485,3,1,100
858,292,895,316,4,1,100
525,423,535,447,5,1,100
205,572,453,717,1,1,101
1076,503,1132,535,2,1,101
622,461,635,485,3,1,101
858,291,895,316,4,1,101
525,423,535,447,5,1,101
205,572,453,717,1,1,102
1075,503,1133,535,2,1,102
622,461,635,485,3,1,102
857,291,895,316,4,1,102
525,423,535,447,5,1,102
205,573,453,717,1,1,103
1075,503,1132,535,2,1,103
622,461,635,485,3,1,103
857,291,895,316,4,1,103
525,423,535,447,5,1,103
206,573,452,717,1,1,104
1075,503,1131,535,2,1,104
622,461,635,485,3,1,104
857,291,894,316,4,1,104
525,423,535,447,5,1,104
206,573,452,717,1,1,105
1075,502,1131,534,2,1,105
622,461,635,485,3,1,105
857,292,895,317,4,1,105
525,423,535,447,5,1,105
206,572,452,716,1,1,106
1075,502,1131,534,2,1,106
622,460,635,485,3,1,106
856,292,894,317,4,1,106
525,423,535,447,5,1,106
205,572,453,717,1,1,107
1074,501,1131,534,2,1,107
622,460,635,485,3,1,107
856,292,894,317,4,1,107
525,423,535,447,5,1,107
205,572,453,717,1,1,108
1074,502,1132,535,2,1,108
622,460,635,484,3,1,108
855,292,894,317,4,1,108
525,423,535,447,5,1,108
205,572,453,717,1,1,109
1075,502,1131,534,2,1,109
622,460,635,484,3,1,109
854,292,894,317,4,1,109
525,423,535,447,5,1,109
205,573,453,717,1,1,110
1074,502,1132,534,2,1,110
622,460,635,484,3,1,110
855,292,893,317,4,1,110
525,424,535,447,5,1,110
206,572,452,716,1,1,111
1075,502,1133,535,2,1,111
622,461,635,485,3,1,111
855,292,892,318,4,1,111
525,423,536,448,5,1,111
206,572,452,716,1,1,112
1075,502,1133,535,2,1,112
622,461,635,485,3,1,112
854,292,892,318,4,1,112
525,423,536,448,5,1,112
206,571,452,716,1,1,113
1076,502,1132,535,2,1,113
623,461,634,486,3,1,113
853,292,891,318,4,1,113
525,423,537,448,5,1,113
205,571,453,716,1,1,114
1076,503,1132,535,2,1,114
622,461,635,486,3,1,114
851,292,892,318,4,1,114
525,422,537,449,5,1,114
206,571,452,716,1,1,115
1076,503,1132,535,2,1,115
622,461,635,486,3,1,115
851,292,891,319,4,1,115
525,422,537,449,5,1,115
206,571,453,716,1,1,116
1075,503,1132,534,2,1,116
622,462,635,486,3,1,116
851,293,891,319,4,1,116
525,422,537,449,5,1,116
206,571,453,716,1,1,117
1075,503,1132,534,2,1,117
622,462,635,486,3,1,117
851,293,890,319,4,1,117
525,422,537,449,5,1,117
206,571,453,716,1,1,118
1075,502,1132,533,2,1,118
622,462,635,486,3,1,118
850,293,891,319,4,1,118
525,422,537,449,5,1,118
206,571,453,716,1,1,119
1075,503,1131,533,2,1,119
623,462,634,486,3,1,119
850,293,890,318,4,1,119
525,422,537,449,5,1,119
206,571,452,717,1,1,120
1075,503,1131,533,2,1,120
623,462,634,486,3,1,120
850,293,890,318,4,1,120
525,422,537,449,5,1,120
206,571,453,717,1,1,121
1075,503,1131,533,2,1,121
623,462,634,486,3,1,121
850,294,889,318,4,1,121
524,422,537,449,5,1,121
206,571,453,717,1,1,122
1075,503,1131,533,2,1,122
623,462,634,486,3,1,122
848,295,891,319,4,1,122
524,422,537,449,5,1,122
205,571,453,717,1,1,123
1075,503,1131,533,2,1,123
623,462,634,486,3,1,123
848,296,891,320,4,1,123
524,422,537,449,5,1,123
205,571,452,717,1,1,124
1075,503,1131,533,2,1,124
623,462,634,486,3,1,124
847,297,890,321,4,1,124
524,422,537,449,5,1,124
205,571,452,717,1,1,125
1075,503,1131,533,2,1,125
623,462,634,486,3,1,125
846,297,890,321,4,1,125
524,422,537,449,5,1,125
206,571,452,717,1,1,126
1075,503,1131,533,2,1,126
623,462,634,485,3,1,126
846,297,889,321,4,1,126
524,422,537,449,5,1,126
206,571,452,717,1,1,127
1075,503,1131,533,2,1,127
623,461,634,485,3,1,127
845,297,888,321,4,1,127
524,422,537,449,5,1,127
206,571,453,717,1,1,128
1075,503,1131,533,2,1,128
623,461,634,485,3,1,128
846,296,887,321,4,1,128
524,422,537,449,5,1,128
204,572,453,717,1,1,129
1075,503,1131,533,2,1,129
623,461,634,485,3,1,129
846,296,886,321,4,1,129
525,422,536,449,5,1,129
206,572,453,717,1,1,130
1075,503,1131,533,2,1,130
623,461,634,485,3,1,130
845,296,887,321,4,1,130
525,422,536,449,5,1,130
207,572,452,717,1,1,131
1075,503,1130,534,2,1,131
623,460,634,485,3,1,131
845,296,887,322,4,1,131
524,422,536,449,5,1,131
207,573,452,717,1,1,132
1075,503,1130,534,2,1,132
622,460,635,485,3,1,132
845,296,886,322,4,1,132
524,422,536,449,5,1,132
208,573,453,717,1,1,133
1074,503,1130,535,2,1,133
622,460,635,485,3,1,133
845,297,886,322,4,1,133
524,422,536,449,5,1,133
208,573,453,717,1,1,134
1074,503,1130,535,2,1,134
622,460,635,485,3,1,134
844,297,885,322,4,1,134
524,422,537,449,5,1,134
208,573,453,717,1,1,135
1074,503,1130,535,2,1,135
622,460,635,485,3,1,135
844,297,885,322,4,1,135
525,422,537,449,5,1,135
208,573,453,717,1,1,136
1074,503,1131,535,2,1,136
622,460,635,485,3,1,136
843,297,884,322,4,1,136
525,422,537,449,5,1,136
207,573,453,717,1,1,137
1074,503,1131,535,2,1,137
622,460,635,485,3,1,137
842,297,884,322,4,1,137
525,422,537,449,5,1,137
208,573,453,716,1,1,138
1074,503,1131,535,2,1,138
622,460,635,485,3,1,138
841,298,883,323,4,1,138
525,422,537,449,5,1,138
208,573,454,716,1,1,139
1074,503,1131,535,2,1,139
622,460,635,485,3,1,139
841,298,883,323,4,1,139
525,422,537,449,5,1,139
208,573,454,716,1,1,140
1074,503,1131,535,2,1,140
622,460,635,485,3,1,140
843,298,882,323,4,1,140
525,422,537,449,5,1,140
209,573,453,716,1,1,141
1074,503,1131,535,2,1,141
622,460,635,486,3,1,141
843,299,881,323,4,1,141
525,422,537,449,5,1,141
209,572,453,716,1,1,142
1074,502,1131,535,2,1,142
622,460,635,486,3,1,142
842,299,882,323,4,1,142
525,422,537,449,5,1,142
210,572,453,716,1,1,143
1074,502,1131,535,2,1,143
622,460,635,486,3,1,143
841,298,882,324,4,1,143
525,422,537,449,5,1,143
210,571,453,716,1,1,144
1074,502,1131,535,2,1,144
622,460,635,486,3,1,144
840,297,883,324,4,1,144
525,422,537,449,5,1,144
213,571,454,716,1,1,145
1074,502,1131,535,2,1,145
622,460,635,486,3,1,145
840,296,882,324,4,1,145
525,422,537,449,5,1,145
214,571,454,716,1,1,146
1074,502,1131,535,2,1,146
622,460,635,486,3,1,146
839,297,883,324,4,1,146
525,422,537,449,5,1,146
214,570,454,716,1,1,147
1074,502,1131,535,2,1,147
622,460,635,486,3,1,147
839,297,883,324,4,1,147
524,422,537,449,5,1,147
212,570,455,716,1,1,148
1074,502,1131,535,2,1,148
622,460,635,486,3,1,148
840,298,882,324,4,1,148
524,422,537,449,5,1,148
206,570,456,716,1,1,149
1074,502,1131,535,2,1,149
622,460,635,486,3,1,149
839,298,882,324,4,1,149
524,422,537,449,5,1,149
202,570,455,716,1,1,150
1074,502,1131,535,2,1,150
622,460,635,486,3,1,150
839,298,882,324,4,1,150
524,422,537,449,5,1,150
204,570,455,716,1,1,151
1074,502,1131,535,2,1,151
622,460,635,486,3,1,151
840,299,881,324,4,1,151
524,422,536,449,5,1,151
207,570,454,716,1,1,152
1074,502,1131,534,2,1,152
622,461,635,486,3,1,152
840,299,881,324,4,1,152
524,422,536,449,5,1,152
209,569,455,716,1,1,153
1075,502,1131,534,2,1,153
622,461,635,486,3,1,153
839,299,882,325,4,1,153
524,422,536,449,5,1,153
214,568,456,716,1,1,154
1075,502,1131,534,2,1,154
622,461,635,486,3,1,154
839,299,881,325,4,1,154
524,422,536,449,5,1,154
215,568,457,716,1,1,155
1075,502,1131,534,2,1,155
622,461,635,486,3,1,155
840,299,881,325,4,1,155
524,422,536,449,5,1,155
217,567,457,715,1,1,156
1075,502,1131,534,2,1,156
622,461,635,486,3,1,156
839,299,881,325,4,1,156
524,422,536,449,5,1,156
219,567,458,715,1,1,157
1075,502,1131,534,2,1,157
622,461,635,486,3,1,157
839,297,880,325,4,1,157
524,422,536,449,5,1,157
212,567,460,715,1,1,158
1075,502,1131,534,2,1,158
622,461,635,486,3,1,158
838,297,880,325,4,1,158
524,422,536,449,5,1,158
203,566,463,715,1,1,159
1075,502,1131,534,2,1,159
622,461,635,486,3,1,159
837,296,880,325,4,1,159
524,422,536,449,5,1,159
195,565,462,716,1,1,160
1075,502,1131,534,2,1,160
622,461,635,486,3,1,160
837,298,881,325,4,1,160
525,422,536,449,5,1,160
204,564,457,717,1,1,161
1075,502,1131,534,2,1,161
622,461,635,486,3,1,161
838,298,881,325,4,1,161
525,422,536,449,5,1,161
207,562,458,717,1,1,162
1075,502,1131,534,2,1,162
622,461,635,486,3,1,162
838,299,881,325,4,1,162
524,422,535,449,5,1,162
204,562,461,717,1,1,163
1075,502,1131,534,2,1,163
623,461,634,486,3,1,163
838,299,880,325,4,1,163
524,422,535,449,5,1,163
204,562,462,718,1,1,164
1075,502,1131,534,2,1,164
623,461,634,485,3,1,164
837,299,881,326,4,1,164
524,422,535,449,5,1,164
203,562,462,718,1,1,165
1075,502,1131,534,2,1,165
623,461,634,485,3,1,165
838,299,880,326,4,1,165
524,422,536,449,5,1,165
217,559,460,717,1,1,166
1074,502,1131,534,2,1,166
623,460,634,485,3,1,166
836,300,880,326,4,1,166
525,422,536,449,5,1,166
211,558,465,717,1,1,167
1075,503,1131,535,2,1,167
622,460,635,485,3,1,167
837,301,879,326,4,1,167
525,422,536,449,5,1,167
211,558,465,717,1,1,168
1075,503,1131,535,2,1,168
622,460,635,485,3,1,168
836,301,880,326,4,1,168
524,422,535,449,5,1,168
210,557,464,717,1,1,169
1075,503,1132,536,2,1,169
622,460,635,485,3,1,169
836,301,879,326,4,1,169
524,422,535,449,5,1,169
210,554,463,717,1,1,170
1075,503,1132,536,2,1,170
622,460,635,485,3,1,170
837,301,879,326,4,1,170
524,422,535,449,5,1,170
978,241,1002,257,6,1,170
210,553,464,717,1,1,171
1074,503,1132,536,2,1,171
622,460,635,485,3,1,171
837,301,879,326,4,1,171
524,422,535,449,5,1,171
977,241,1001,257,6,1,171
210,554,464,718,1,1,172
1074,503,1132,536,2,1,172
622,460,635,485,3,1,172
837,301,879,327,4,1,172
524,422,535,449,5,1,172
976,241,1000,258,6,1,172
210,554,466,718,1,1,173
1074,503,1132,536,2,1,173
622,460,635,485,3,1,173
836,301,879,327,4,1,173
524,422,535,449,5,1,173
976,242,999,258,6,1,173
209,555,467,718,1,1,174
1074,503,1132,536,2,1,174
622,460,635,485,3,1,174
836,301,879,327,4,1,174
524,422,535,449,5,1,174
976,242,999,258,6,1,174
206,556,466,718,1,1,175
1074,503,1132,536,2,1,175
622,460,635,485,3,1,175
836,301,879,327,4,1,175
524,422,535,449,5,1,175
977,243,998,260,6,1,175
210,556,466,718,1,1,176
1074,502,1132,536,2,1,176
622,460,635,485,3,1,176
836,301,880,327,4,1,176
524,422,535,449,5,1,176
976,244,998,261,6,1,176
212,554,466,718,1,1,177
1074,502,1132,536,2,1,177
622,460,635,485,3,1,177
837,301,880,327,4,1,177
525,422,535,449,5,1,177
975,243,997,260,6,1,177
211,553,469,718,1,1,178
1074,502,1132,536,2,1,178
622,460,635,486,3,1,178
837,301,880,327,4,1,178
525,423,535,449,5,1,178
974,243,998,260,6,1,178
209,555,477,718,1,1,179
1074,502,1132,536,2,1,179
622,460,635,486,3,1,179
837,301,880,327,4,1,179
524,423,536,449,5,1,179
973,244,998,261,6,1,179
212,555,478,718,1,1,180
1074,502,1132,536,2,1,180
622,460,635,486,3,1,180
837,300,880,327,4,1,180
523,423,537,449,5,1,180
974,243,996,262,6,1,180
214,555,478,718,1,1,181
1074,502,1132,536,2,1,181
622,460,635,486,3,1,181
837,300,880,326,4,1,181
523,423,537,449,5,1,181
973,243,996,263,6,1,181
212,554,479,718,1,1,182
1074,502,1132,536,2,1,182
622,460,635,486,3,1,182
837,300,880,326,4,1,182
523,424,537,449,5,1,182
971,244,995,265,6,1,182
212,552,477,718,1,1,183
1074,502,1132,536,2,1,183
622,460,635,486,3,1,183
837,300,880,326,4,1,183
524,424,536,449,5,1,183
969,245,994,266,6,1,183
217,546,473,718,1,1,184
1074,502,1132,536,2,1,184
622,460,635,486,3,1,184
837,300,880,326,4,1,184
524,424,536,449,5,1,184
968,245,992,267,6,1,184
215,546,477,717,1,1,185
1074,502,1132,536,2,1,185
622,460,635,486,3,1,185
837,300,880,326,4,1,185
524,424,536,449,5,1,185
967,245,992,268,6,1,185
215,547,478,717,1,1,186
1074,502,1132,536,2,1,186
622,460,635,486,3,1,186
837,300,880,326,4,1,186
524,424,536,449,5,1,186
967,245,992,268,6,1,186
405,530,471,572,7,1,186
217,546,478,717,1,1,187
1074,502,1132,536,2,1,187
622,460,635,486,3,1,187
837,300,880,326,4,1,187
524,424,536,448,5,1,187
967,246,991,269,6,1,187
406,529,472,570,7,1,187
217,548,485,718,8,1,187
215,547,486,718,1,1,188
1074,502,1132,535,2,1,188
622,460,635,486,3,1,188
837,300,880,326,4,1,188
524,424,536,448,5,1,188
966,247,991,269,6,1,188
408,528,472,569,7,1,188
216,549,482,718,8,1,188
1074,502,1132,535,2,1,189
622,461,635,486,3,1,189
837,300,880,326,4,1,189
524,424,536,448,5,1,189
965,247,990,270,6,1,189
